"meetingName","barrierNumber","raceDistance","n_races","n_wins","expected_wins","win_perc","wins_above_exp"
"ANGLE PARK",8,"515",195,23,24.2011979291502,0.117948717948718,-1.20119792915022
"ANGLE PARK",1,"530",757,154,150.554943464663,0.203434610303831,3.44505653533696
"ANGLE PARK",2,"530",764,125,129.620438105327,0.163612565445026,-4.62043810532742
"ANGLE PARK",3,"530",348,52,53.0524194243087,0.149425287356322,-1.05241942430875
"ANGLE PARK",4,"530",757,132,126.325081507076,0.174372523117569,5.67491849292448
"ANGLE PARK",5,"530",594,83,82.0171351089245,0.13973063973064,0.982864891075479
"ANGLE PARK",6,"530",411,58,53.5065653951475,0.141119221411192,4.49343460485254
"ANGLE PARK",7,"530",695,86,87.2208685479712,0.123741007194245,-1.22086854797116
"ANGLE PARK",8,"530",756,89,95.3516703633336,0.117724867724868,-6.35167036333364
"ANGLE PARK",9,"530",1,0,0.350878083248497,0,-0.350878083248497
"ANGLE PARK",1,"595",122,23,22.7052944732731,0.188524590163934,0.294705526726879
"ANGLE PARK",2,"595",120,20,18.6114192939342,0.166666666666667,1.38858070606581
"ANGLE PARK",3,"595",51,9,6.55493357064744,0.176470588235294,2.44506642935256
"ANGLE PARK",4,"595",118,21,23.5014479698109,0.177966101694915,-2.50144796981091
"ANGLE PARK",5,"595",71,11,12.7220533590308,0.154929577464789,-1.72205335903084
"ANGLE PARK",6,"595",80,13,13.6377001651154,0.1625,-0.637700165115367
"ANGLE PARK",7,"595",90,13,12.1404732523947,0.144444444444444,0.859526747605324
"ANGLE PARK",8,"595",119,17,17.1266779157935,0.142857142857143,-0.126677915793461
"ANGLE PARK",1,"600",34,6,5.64896467856132,0.176470588235294,0.351035321438681
"ANGLE PARK",2,"600",33,8,5.55134403697342,0.242424242424242,2.44865596302658
"ANGLE PARK",3,"600",15,4,2.60602855496927,0.266666666666667,1.39397144503073
"ANGLE PARK",4,"600",32,4,4.77838131801843,0.125,-0.778381318018434
"ANGLE PARK",5,"600",20,3,3.20683381384759,0.15,-0.206833813847588
"ANGLE PARK",6,"600",24,3,3.73755952789228,0.125,-0.737559527892275
"ANGLE PARK",7,"600",24,4,3.60612553999906,0.166666666666667,0.393874460000939
"ANGLE PARK",8,"600",33,2,4.86476252973863,0.0606060606060606,-2.86476252973863
"ANGLE PARK",1,"730",85,17,17.8360765606168,0.2,-0.836076560616817
"ANGLE PARK",2,"730",46,12,10.2129805381704,0.260869565217391,1.78701946182963
"ANGLE PARK",3,"730",50,12,11.5450914429026,0.24,0.45490855709736
"ANGLE PARK",4,"730",50,7,8.93855433185479,0.14,-1.93855433185479
"ANGLE PARK",5,"730",54,14,14.1781936933035,0.259259259259259,-0.178193693303497
"ANGLE PARK",6,"730",37,12,7.33510423164405,0.324324324324324,4.66489576835595
"ANGLE PARK",7,"730",61,11,12.1165099550378,0.180327868852459,-1.11650995503784
"ANGLE PARK",8,"730",46,5,7.83748924647,0.108695652173913,-2.83748924647
"ANGLE PARK",1,"731",22,2,3.17191628633667,0.0909090909090909,-1.17191628633667
"ANGLE PARK",2,"731",14,1,2.88979079359633,0.0714285714285714,-1.88979079359633
"ANGLE PARK",3,"731",9,1,1.09231924134626,0.111111111111111,-0.0923192413462579
"ANGLE PARK",4,"731",13,6,2.51308545500098,0.461538461538462,3.48691454499902
"ANGLE PARK",5,"731",14,4,3.56054843403485,0.285714285714286,0.439451565965145
"ANGLE PARK",6,"731",7,0,0.722754125303047,0,-0.722754125303047
"ANGLE PARK",7,"731",16,5,4.04645882494559,0.3125,0.953541175054409
"ANGLE PARK",8,"731",14,3,4.00312683943627,0.214285714285714,-1.00312683943627
"BALLARAT",1,"390",28,1,4.39755901278436,0.0357142857142857,-3.39755901278436
"BALLARAT",2,"390",28,8,4.18557187198183,0.285714285714286,3.81442812801817
"BALLARAT",3,"390",22,6,5.00163502667145,0.272727272727273,0.998364973328554
"BALLARAT",4,"390",26,3,1.91755444657251,0.115384615384615,1.08244555342749
"BALLARAT",5,"390",24,3,3.96783593622993,0.125,-0.967835936229934
"BALLARAT",6,"390",26,2,2.11042505575071,0.0769230769230769,-0.11042505575071
"BALLARAT",7,"390",26,4,3.94591998224904,0.153846153846154,0.0540800177509611
